surface,endpoint,file,line,snippet
internal,/api/analyze,audit-notes.md,259,"- **Fix:** Added `elif self.path == ""/api/analyze"":` POST handler in web_dashboard.py that forwards body to `http://127.0.0.1:8890/api/analyze` and streams the "
lcu,/lol-gameflow/v1/session,CLAUDE.md,155,17. ✅ **Mode-flicker chain + DS resolver + LCU agent fixes** — shipped s153/s154/s155/s156/s157/s158 (2026-05-10). s153 (`96bf4ee`) + s157 (`0e3d87a`) mirror th
lcu,/lol-gameflow/v1,CLAUDE.md,155,17. ✅ **Mode-flicker chain + DS resolver + LCU agent fixes** — shipped s153/s154/s155/s156/s157/s158 (2026-05-10). s153 (`96bf4ee`) + s157 (`0e3d87a`) mirror th
lcu,/lol-cherry/v1,CLAUDE.md,161,23. ✅ **Phase B — LCU agent handlers + champ-select state population** — shipped s166 (2026-05-10). 5 new command handlers in `tools/gamepc_lcu_agent.py` (set_b
liveclient,/liveclientdata/allgamedata,README.md,83,"1. **Live Client snapshot** — fast-path. Many fields (gold, KDA, level) come from `:2999/liveclientdata/allgamedata` on Game-PC and travel as JSON; no vision ca"
internal,/api/queue,agents/supervisor.py,388,"if self.path == ""/api/queue"":"
internal,/api/adaptation,agents/supervisor.py,390,"if self.path.startswith(""/api/adaptation""):"
internal,/api/env,agents/supervisor.py,392,"if self.path == ""/api/env"":"
internal,/api/minimap-crop,agents/supervisor.py,394,"if self.path.startswith(""/api/minimap-crop""):"
internal,/api/insight-card,agents/supervisor.py,396,"if self.path.startswith(""/api/insight-card""):"
internal,/api/activity,agents/supervisor.py,398,"if self.path.startswith(""/api/activity""):"
internal,/api/task/,agents/supervisor.py,400,"if self.path.startswith(""/api/task/""):"
internal,/api/trending,agents/supervisor.py,402,"if self.path.startswith(""/api/trending""):"
internal,/api/session-games,agents/supervisor.py,404,"if self.path.startswith(""/api/session-games""):"
internal,/api/session,agents/supervisor.py,406,"if self.path.startswith(""/api/session""):"
internal,/api/advisories,agents/supervisor.py,408,"if self.path.startswith(""/api/advisories""):"
internal,/api/time-of-day,agents/supervisor.py,410,"if self.path.startswith(""/api/time-of-day""):"
internal,/api/day-of-week,agents/supervisor.py,412,"if self.path.startswith(""/api/day-of-week""):"
internal,/api/duration,agents/supervisor.py,414,"if self.path.startswith(""/api/duration""):"
internal,/api/digest,agents/supervisor.py,416,"if self.path.startswith(""/api/digest""):"
internal,/api/sim,agents/supervisor.py,418,"if self.path.startswith(""/api/sim""):"
internal,/api/locked-champion,agents/supervisor.py,420,"if self.path.startswith(""/api/locked-champion""):"
internal,/api/input,agents/supervisor.py,435,"if self.path == ""/api/input"":"
internal,/api/analyze,agents/supervisor.py,437,"if self.path == ""/api/analyze"":"
internal,/api/file-task,agents/supervisor.py,439,"if self.path == ""/api/file-task"":"
internal,/api/task/,agents/supervisor.py,441,"if self.path.startswith(""/api/task/"") and self.path.endswith(""/dismiss""):"
liveclient,/liveclientdata/allgamedata,coaches/_base_coach.py,184,"""https://192.168.8.237:2999/liveclientdata/allgamedata"""
internal,/api/bridge/inbox,core/bridge.py,118,"url = remote_url() + ""/api/bridge/inbox"""
web,/riot/account/v1/accounts/by-riot-id/{name_e}/{tag_e},core/riot_api.py,352,"f""/riot/account/v1/accounts/by-riot-id/{name_e}/{tag_e}"""
web,/lol/match/v5/matches/by-puuid/{urllib.parse.quote(puuid,core/riot_api.py,398,"f""/lol/match/v5/matches/by-puuid/{urllib.parse.quote(puuid, safe='')}"""
web,/lol/match/v5/matches/{urllib.parse.quote(match_id,core/riot_api.py,425,"f""/lol/match/v5/matches/{urllib.parse.quote(match_id, safe='')}"""
web,/lol/match/v5/matches/{urllib.parse.quote(match_id,core/riot_api.py,447,"f""/lol/match/v5/matches/{urllib.parse.quote(match_id, safe='')}/timeline"""
web,/lol/league/v4/entries/by-puuid/{urllib.parse.quote(puuid,core/riot_api.py,477,"f""/lol/league/v4/entries/by-puuid/{urllib.parse.quote(puuid, safe='')}"""
web,/lol/champion-mastery/v4/champion-masteries/by-puuid/,core/riot_api.py,509,"f""/lol/champion-mastery/v4/champion-masteries/by-puuid/"""
liveclient,/liveclientdata/activeplayer,dashboard/builders.py,514,"with _ur.urlopen(""http://192.168.8.237:2999/liveclientdata/activeplayer"", timeout=2) as r:"
internal,/api/bridge,dashboard/routes_bridge.py,214,"(equals(""/api/bridge""),          _serve_bridge),"
internal,/api/bridge/messages,dashboard/routes_bridge.py,215,"(equals(""/api/bridge/messages""), _serve_bridge),"
internal,/api/bridge/status,dashboard/routes_bridge.py,216,"(equals(""/api/bridge/status""),   _serve_bridge_status),"
internal,/api/preview-build,dashboard/routes_bridge.py,217,"(equals(""/api/preview-build""),   _serve_preview_build),"
internal,/api/champions,dashboard/routes_bridge.py,218,"(equals(""/api/champions""),       _serve_champions),"
internal,/api/bridge,dashboard/routes_bridge.py,222,"(equals(""/api/bridge""),         _serve_bridge_post),"
internal,/api/bridge/inbox,dashboard/routes_bridge.py,223,"(equals(""/api/bridge/inbox""),   _serve_bridge_inbox),"
internal,/api/bridge/cadence,dashboard/routes_bridge_cadence.py,92,"GET_ROUTES  = [(equals(""/api/bridge/cadence""), _serve_get)]"
internal,/api/bridge/cadence,dashboard/routes_bridge_cadence.py,93,"POST_ROUTES = [(equals(""/api/bridge/cadence""), _serve_post)]"
internal,/api/bridge/pending,dashboard/routes_bridge_pending.py,92,"(equals(""/api/bridge/pending""), _serve_pending),"
internal,/api/bridge/pending/,dashboard/routes_bridge_pending_actions.py,66,"base = ""/api/bridge/pending/"""
internal,/api/bridge/pending/,dashboard/routes_bridge_pending_actions.py,150,"(prefix(""/api/bridge/pending/""), _serve_action),"
internal,/api/replay/match/,dashboard/routes_coach.py,77,"mid = h.path[len(""/api/replay/match/""):].split(""?"", 1)[0]"
internal,/api/cost,dashboard/routes_coach.py,382,"(equals(""/api/cost""),             _serve_cost),"
internal,/api/coach/trace,dashboard/routes_coach.py,383,"(equals(""/api/coach/trace""),      _serve_coach_trace),"
internal,/api/coach/state,dashboard/routes_coach.py,384,"(equals(""/api/coach/state""),      _serve_coach_state),"
